Unnamed: 0,Tag,Sentences,Correct,Extracted,PMID,Years,CorrespAuthors,Publishers
0,train,"In macrophages, ORF8b robustly activates the NLRP3 inflammasome by providing a potent signal 2 required for activation.","[('ORF8b', 'activates', 'NLRP3 inflammasome ')]","[('ORF8b', 'activates', 'NLRP3')]",31231549,2019,John H Kehrl,Cell death discov
1,test,"Here, we identify several mechanisms by which a SARS-CoV open reading frame (ORF) activates intracellular stress pathways and targets the innate immune response.","[('SARS-CoV open reading frame', 'activates', 'stress pathways')]","[('SARS-CoV', 'activates', 'stress')]",31231549,2019,John H Kehrl,Cell death discov
2,train,"Overall, our findings point to a GCN2- and PERK-independent mechanism(s) by which methionine restriction activates the integrated stress response in TNBC cells.","[('methionine restriction', 'activates', 'stress response')]","[('restriction', 'activates', 'stress')]",31497357,2019,Vincent L Cryns,Am J Cancer Res.
3,train,The resting pattern is readily changed by voluntary motor activity which gives a rolandic-postrolandic activity peak and by sensory stimulation which activates rolandic and prerolandic structures especially.,"[('stimulation', 'activates', 'structures')]","[('', '', '')]",773518,1976,D H Ingvar,Brain Res.
4,train,"In contrast, exposure to constant light, which perturbed the interval of inactivity (sleep) and led to the complete abolishment of activity/inactivity cycles, activated robustly proinflammatory state in the colon selectively via Stat3-dependent pathway.","[('exposure', 'activated', 'state')]","[('', '', '')]",29039977,2017,Alena Sumova,Chronobiol Int.
5,train,We previously found that FLT3-ITD activates the mTORC1/S6K/4EBP1 pathway cooperatively through the STAT5/PIM and PI3K/AKT pathways to promote proliferation and survival by enhancing the eIF4F complex formation required for cap-dependent translation.,"[('FLT3-ITD', 'activates', 'mTORC1/S6K/4EBP1 pathway')]","[('FLT3-ITD', 'activates', 'mTORC1/S6K/4EBP1')]",31756944,2019,Osamu Miura,Cancers(Basel)
6,test,"Here, we show that, in contrast to BCR/ABL causing Ph-positive leukemias, FLT3-ITD distinctively activates the serine/threonine kinases RSK1/2 through activation of the MEK/ERK pathway and PDK1 to transduce signals required for FLT3-ITD-dependent, but not BCR/ABL-dependent, proliferation and survival of various cells, including MV4-11.","[('FLT3-ITD', 'activates', 'serine/threonine kinases RSK1/2')]","[('', '', '')]",31756944,2019,Osamu Miura,Cancers(Basel)
7,train,"Our results show that haloperidol, a DA D2-class receptor antagonist, activates c-Fos predominantly in enkephalin-positive striatal neurons, which project to the globus pallidus and are thought to mediate motor inhibition.","[('haloperidol, a DA D2-class receptor antagonist,', 'activates', 'c-Fos ')]","[('haloperidol', 'activates', 'c-Fos')]",12048106,2002,Rosario Moratalla,J Chem Neuroanat.
8,train,BMP2 also activates Runx2/Cbfa1 which is an osteoblast-specific transcription factor.,"[('BMP2', 'activates', 'Runx2/Cbfa1')]","[('BMP2', 'activates', 'Runx2/Cbfa1')]",29258711,2018,Masaharu Ishihara,J Cardiol.
9,train,"When polysulfide reacts with the R domain of FisR through the three conserved cysteine residues (C53, C64 and C71), FisR activates the expression of the operon.","[('FisR', 'activates', 'expression')]","[('', '', '')]",28612361,2017,Huaiwei Liu,Mol Microbiol.
10,train,Here it is reported that the regulator responds to the presence of sulfide and activates the sulfide-oxidizing genes.,"[('regulator', 'activates', 'genes')]","[('regulator', 'activates', 'genes')]",28612361,2017,Huaiwei Liu,Mol Microbiol.
11,test,"MCN1 activates this rhythm by slow peptidergic (CabTRP Ia) and fast GABAergic excitation of the reciprocally inhibitory central pattern generator neurons LG (protraction) and Int1 (retraction), respectively.","[('MCN1', 'activates', 'rhythm')]","[('', '', '')]",19793994,2009,Michael P Nusbaum,J Neurosci.
12,train,"Extracellular glutamine activates transcription factor signal transducer and activator of transcription 3 (STAT3), which is necessary and sufficient to mediate the proliferative effects of glutamine on glycolytic and oxidative cancer cells.","[('glutamine', 'activates', 'transcription factor signal transducer and activator')]","[('glutamine', 'activates', 'factor and activator')]",27748760,2017,Pierre Sonveaux,Oncogene.
13,train,We found that IVM activates GIRK2 more efficiently than GIRK4.,"[('IVM', 'activates', 'GIRK2')]","[('IVM', 'activates', 'GIRK2')]",28715108,2017,Yoshihiro Kubo,J Physiol.
14,train,Increased level of glyceraldehyde-3-P activates two major pro-oxidative pathways in diabetes.,"[('level', 'activates', 'pathway')]","[('', '', '')]",30245465,2018,Osasenaga Macdonald Ighodaro,Biomed Pharmacother.
15,train,"Importantly, we discovered that obinutuzumab also activates FcγRI (CD64) significantly more than rituximab and ofatumumab in response to chronic lymphocytic leukemia (CLL) cells obtained from patients.","[('obinutuzumab ', 'activates', 'FcγRI')]","[('obinutuzumab', 'activates', 'FcγRI')]",29872553,2018,Ofer Mandelboim,Oncoimmunology.
16,test,Here we establish a reporter assay to assess whether a particular antibody activates a certain Fc receptor.,"[('antibody', 'activates', 'Fc receptor')]","[('reporter', 'activates', 'Fc')]",29872553,2018,Ofer Mandelboim,Oncoimmunology.
17,train,"However, whether curdlan also activates DCs through other receptors remains unknown.  ","[('curdlan', 'activates', 'DCs')]","[('', '', '')]",27449326,2016,Sang-Bae Han,Int Immunopharmacol.
18,train,The modulatory neuron modulatory commissural neuron 1 (MCN1) activates and modulates two networks that generate rhythms via different cellular mechanisms and at distinct frequencies.,"[('neruon 1', 'activates', 'two networks')]","[('modulatory', 'activates', 'networks')]",27030739,2016,Dawn M Blitz,J Neurophysiol.
19,train,These data demonstrated that TRIM28 activates autophagy and increases cell proliferation in glioma.,"[('TRIM28', 'activates', 'autophagy')]","[('', '', '')]",30655676,2019,Yugang Jiang,Onco Targets Ther.
20,train,"Long noncoding RNA (lncRNA) PTCSC3 (hereafter PTCSC3 is used to represent lncRNA PTCSC3) inhibits glioma and thyroid cancer, indicating its potential tumor suppression function in other types of cancers.","[('PTCSC3', 'inhibits', 'glioma and thyroid cancer')]","[('RNA', 'inhibits', 'glioma and cancer')]",31026090,2019,Xiaobin Sheng,J Cell Biochem.
21,test,"SFN inhibits mTOR in a concentration- and time-dependent manner, and this inhibition occurs in the presence or in the absence of NRF2.","[('SFN', 'inhibits', 'mTOR')]","[('SFN', 'inhibits', 'mTOR')]",31409554,2019,Albena T Dinkova-Kostova,Phytomedicine.
22,train,LncRNA PTCSC3 inhibits the proliferation and migration of glioma cells and suppresses Wnt/β-catenin signaling pathway by targeting LRP6.,"[('LncRNA PTCSC3', 'inhibits', 'proliferation and migration')]","[('LncRNA', 'inhibits', 'proliferation and migration')]",28187755,2017,WeiWei Zhan,BMC Neurol.
23,train,"Furthermore, AK126698 could inhibit the activation of Wnt/β-catenin pathway, which was demonstrated by measuring the expression levels of Axin1, β-catenin, c-myc, cyclin D1, and E-cadherin.","[('AK126698', 'inhibit', 'activation')]","[('AK126698', 'inhibit', 'activation')]",27445486,2016,Yang Wang,Onco Targets Ther.
24,train,Carboxylesterase 1 (CES1) is potentially inhibited by THC and CBD.,"[('Carboxylesterase 1', 'is inhibited by', 'THC and CBD')]","[('Carboxylesterase', 'is inhibited by', 'THC and CBD')]",31433338,2019,John S Markowitz,J Clin Psychoparmacol.
25,train,"It was previously shown that clofibric acid, a blood lipid-lowering drug, binds T1R2-T1R3 and inhibits its activity in vitro.","[('acid', 'binds', ' T1R2-T1R3'), ('acid', 'inhibits', 'activity')]","[('acid', 'inhibits', 'activity'), ('acid', 'binds', 'T1R2-T1R3')]",27742692,2017,Paul A S Breslin,Chem Sense
26,test,"Binding of 125I-labeled GMP-140 to neutrophils and HL60 cells and the rosetting of neutrophils and HL60 cells by thrombin-activated platelets were inhibited by EDTA, excess unlabeled fluid-phase GMP-140, Fab fragments of an affinity-purified rabbit anti-GMP-140 antibody, and by the murine anti-GMP-140 monoclonal antibody, AK 4.","[('Binding', 'were inhibited by', 'EDTA')]","[('Binding', 'were inhibited by', 'EDTA')]",1706335,1991,M C Berndt,J Biol Chem.
27,train,"Pretreatment with the synthetic auxin 1-NAA reduces this BFA-induced PIN internalization, suggesting that auxinic compounds inhibit the endocytosis of PIN proteins.","[('compounds', 'inhibit', 'endocytosis')]","[('compounds', 'inhibit', 'endocytosis')]",31143194,2019,Klaus Palme,Front Plant Sci.
