Sentence,PMID,year,corresp.author,publisher,Triples,,,,,
" In macrophages, ORF8b robustly activates the NLRP3 inflammasome by providing a potent signal 2 required for activation. ",31231549,2019,John H Kehrl,Cell death discov,ORF8b,activates,NLRP3 inflammasome ,,,
"Here, we identify several mechanisms by which a SARS-CoV open reading frame (ORF) activates intracellular stress pathways and targets the innate immune response. ",31231549,2019,John H Kehrl,Cell death discov,SARS-CoV open reading frame,activates,stress pathways,,,
"Overall, our findings point to a GCN2- and PERK-independent mechanism(s) by which methionine restriction activates the integrated stress response in TNBC cells.",31497357,2019,Vincent L Cryns,Am J Cancer Res.,methionine restriction,activates,stress response,,,
The resting pattern is readily changed by voluntary motor activity which gives a rolandic-postrolandic activity peak and by sensory stimulation which activates rolandic and prerolandic structures especially.,773518,1976,D H Ingvar,Brain Res.,stimulation,activates,structures,,,
" In contrast, exposure to constant light, which perturbed the interval of inactivity (sleep) and led to the complete abolishment of activity/inactivity cycles, activated robustly proinflammatory state in the colon selectively via Stat3-dependent pathway.",29039977,2017,Alena Sumova,Chronobiol Int.,exposure,activated,state,,,
We previously found that FLT3-ITD activates the mTORC1/S6K/4EBP1 pathway cooperatively through the STAT5/PIM and PI3K/AKT pathways to promote proliferation and survival by enhancing the eIF4F complex formation required for cap-dependent translation. ,31756944,2019,Osamu Miura,Cancers(Basel),FLT3-ITD,activates,mTORC1/S6K/4EBP1 pathway,,,
" Here, we show that, in contrast to BCR/ABL causing Ph-positive leukemias, FLT3-ITD distinctively activates the serine/threonine kinases RSK1/2 through activation of the MEK/ERK pathway and PDK1 to transduce signals required for FLT3-ITD-dependent, but not BCR/ABL-dependent, proliferation and survival of various cells, including MV4-11.",31756944,2019,Osamu Miura,Cancers(Basel),FLT3-ITD,activates,serine/threonine kinases RSK1/2,,,
"Our results show that haloperidol, a DA D2-class receptor antagonist, activates c-Fos predominantly in enkephalin-positive striatal neurons, which project to the globus pallidus and are thought to mediate motor inhibition. ",12048106,2002,Rosario Moratalla,J Chem Neuroanat.,"haloperidol, a DA D2-class receptor antagonist,",activates,c-Fos ,,,
BMP2 also activates Runx2/Cbfa1 which is an osteoblast-specific transcription factor. ,29258711,2018,Masaharu Ishihara,J Cardiol.,BMP2,activates,Runx2/Cbfa1,,,
"When polysulfide reacts with the R domain of FisR through the three conserved cysteine residues (C53, C64 and C71), FisR activates the expression of the operon. ",28612361,2017,Huaiwei Liu,Mol Microbiol.,FisR,activates,expression,,,
